"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
747,"747.2155","Pasteurella multocida USDA-ARS-USMARC-60381","tulathromycin","Susceptible","<=1","<=","1","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2148","Pasteurella multocida USDA-ARS-USMARC-60713","neomycin","",">32",">","32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2151","Pasteurella multocida USDA-ARS-USMARC-60248","tiamulin","","==16","=","16","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2155","Pasteurella multocida USDA-ARS-USMARC-60381","florfenicol","Susceptible","<=0.25","<=","0.25","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2145","Pasteurella multocida USDA-ARS-USMARC-60224","trimethoprim/sulfamethoxazole","","<=2/32","<=","2/32","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2142","Pasteurella multocida USDA-ARS-USMARC-60717","chlortetracycline","Susceptible","==2","=","2","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2151","Pasteurella multocida USDA-ARS-USMARC-60248","gentamicin","","==2","=","2","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2152","Pasteurella multocida USDA-ARS-USMARC-59962","chlortetracycline","Susceptible","==2","=","2","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2142","Pasteurella multocida USDA-ARS-USMARC-60717","tylosin","","==16","=","16","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
747,"747.2156","Pasteurella multocida USDA-ARS-USMARC-60714","spectinomycin","Intermediate",">64",">","64","mg/L","MIC","Plate: BOPO6F;  Host: Cattle; Body Site: Respiratory","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
