"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
817,"817.2830","Bacteroides fragilis BJH_138","piperacillin/tazobactam","","1","","1","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2823","Bacteroides fragilis BJH_105","meropenem","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2867","Bacteroides fragilis BJH_38","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2854","Bacteroides fragilis BJH_174","metronidazole","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2827","Bacteroides fragilis BJH_114","ertapenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2791","Bacteroides fragilis BJH_210","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2814","Bacteroides fragilis IHMA_17","piperacillin/tazobactam","",">256",">","256","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2885","Bacteroides fragilis BJH_7","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2849","Bacteroides fragilis BJH_156","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2850","Bacteroides fragilis BJH_152","ertapenem","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2857","Bacteroides fragilis BJH_176","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2830","Bacteroides fragilis BJH_138","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
817,"817.2869","Bacteroides fragilis BJH_37","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
