"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
818,"818.3157","Bacteroides thetaiotaomicron BJH_160","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3153","Bacteroides thetaiotaomicron BJH_126","meropenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3161","Bacteroides thetaiotaomicron BJH_202","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3146","Bacteroides thetaiotaomicron BJH_217","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3154","Bacteroides thetaiotaomicron BJH_17","piperacillin/tazobactam","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3168","Bacteroides thetaiotaomicron BJH_98","meropenem","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3166","Bacteroides thetaiotaomicron BJH_88","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3167","Bacteroides thetaiotaomicron BJH_154","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3164","Bacteroides thetaiotaomicron BJH_68","piperacillin/tazobactam","","64","","64","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3149","Bacteroides thetaiotaomicron BJH_181","meropenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3159","Bacteroides thetaiotaomicron BJH_19","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3153","Bacteroides thetaiotaomicron BJH_126","ertapenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3169","Bacteroides thetaiotaomicron BJH_94","meropenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3164","Bacteroides thetaiotaomicron BJH_68","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3150","Bacteroides thetaiotaomicron BJH_157","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3154","Bacteroides thetaiotaomicron BJH_17","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3160","Bacteroides thetaiotaomicron BJH_30","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3156","Bacteroides thetaiotaomicron BJH_166","meropenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3159","Bacteroides thetaiotaomicron BJH_19","piperacillin/tazobactam","","32","","32","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3163","Bacteroides thetaiotaomicron BJH_73","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3162","Bacteroides thetaiotaomicron BJH_34","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3168","Bacteroides thetaiotaomicron BJH_98","piperacillin/tazobactam","","256","","256","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3161","Bacteroides thetaiotaomicron BJH_202","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3155","Bacteroides thetaiotaomicron BJH_123","meropenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3148","Bacteroides thetaiotaomicron BJH_187","piperacillin/tazobactam","","64","","64","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3152","Bacteroides thetaiotaomicron BJH_162","ertapenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3162","Bacteroides thetaiotaomicron BJH_34","ertapenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3161","Bacteroides thetaiotaomicron BJH_202","metronidazole","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3158","Bacteroides thetaiotaomicron BJH_31","piperacillin/tazobactam","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3164","Bacteroides thetaiotaomicron BJH_68","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3167","Bacteroides thetaiotaomicron BJH_154","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3160","Bacteroides thetaiotaomicron BJH_30","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3147","Bacteroides thetaiotaomicron BJH_195","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3156","Bacteroides thetaiotaomicron BJH_166","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3148","Bacteroides thetaiotaomicron BJH_187","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3152","Bacteroides thetaiotaomicron BJH_162","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3158","Bacteroides thetaiotaomicron BJH_31","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3157","Bacteroides thetaiotaomicron BJH_160","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3149","Bacteroides thetaiotaomicron BJH_181","ertapenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3150","Bacteroides thetaiotaomicron BJH_157","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3151","Bacteroides thetaiotaomicron BJH_153","piperacillin/tazobactam","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3165","Bacteroides thetaiotaomicron BJH_76","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3151","Bacteroides thetaiotaomicron BJH_153","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3152","Bacteroides thetaiotaomicron BJH_162","meropenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3156","Bacteroides thetaiotaomicron BJH_166","piperacillin/tazobactam","","32","","32","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3147","Bacteroides thetaiotaomicron BJH_195","ertapenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3158","Bacteroides thetaiotaomicron BJH_31","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3151","Bacteroides thetaiotaomicron BJH_153","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3167","Bacteroides thetaiotaomicron BJH_154","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3163","Bacteroides thetaiotaomicron BJH_73","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3162","Bacteroides thetaiotaomicron BJH_34","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3161","Bacteroides thetaiotaomicron BJH_202","piperacillin/tazobactam","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3155","Bacteroides thetaiotaomicron BJH_123","ertapenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3151","Bacteroides thetaiotaomicron BJH_153","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3146","Bacteroides thetaiotaomicron BJH_217","piperacillin/tazobactam","","32","","32","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
818,"818.3148","Bacteroides thetaiotaomicron BJH_187","ertapenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
