"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
821,"821.6405","Phocaeicola vulgatus BJH_92","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6404","Phocaeicola vulgatus BJH_35","ertapenem","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6386","Phocaeicola vulgatus BJH_125","piperacillin/tazobactam","","256","","256","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6388","Phocaeicola vulgatus BJH_102","metronidazole","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6404","Phocaeicola vulgatus BJH_35","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6402","Phocaeicola vulgatus BJH_52","piperacillin/tazobactam","","2","","2","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6406","Phocaeicola vulgatus BJH_99","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6387","Phocaeicola vulgatus BJH_120","meropenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6391","Phocaeicola vulgatus BJH_173","ertapenem","","1","","1","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6396","Phocaeicola vulgatus BJH_199","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6386","Phocaeicola vulgatus BJH_125","ertapenem","","1","","1","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6397","Phocaeicola vulgatus BJH_179","ertapenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6389","Phocaeicola vulgatus BJH_118","piperacillin/tazobactam","","4","","4","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6392","Phocaeicola vulgatus BJH_131","piperacillin/tazobactam","","256","","256","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6385","Phocaeicola vulgatus BJH_206","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6394","Phocaeicola vulgatus BJH_180","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6390","Phocaeicola vulgatus BJH_137","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6389","Phocaeicola vulgatus BJH_118","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6386","Phocaeicola vulgatus BJH_125","meropenem","","2","","2","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6391","Phocaeicola vulgatus BJH_173","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6390","Phocaeicola vulgatus BJH_137","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6399","Phocaeicola vulgatus BJH_61","ertapenem","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6385","Phocaeicola vulgatus BJH_206","piperacillin/tazobactam","","4","","4","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6404","Phocaeicola vulgatus BJH_35","metronidazole","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6398","Phocaeicola vulgatus BJH_29","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6388","Phocaeicola vulgatus BJH_102","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6391","Phocaeicola vulgatus BJH_173","meropenem","","2","","2","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6393","Phocaeicola vulgatus BJH_23","meropenem","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6395","Phocaeicola vulgatus BJH_201","piperacillin/tazobactam","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6397","Phocaeicola vulgatus BJH_179","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6386","Phocaeicola vulgatus BJH_125","metronidazole","","256","","256","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6387","Phocaeicola vulgatus BJH_120","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6405","Phocaeicola vulgatus BJH_92","ertapenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
821,"821.6403","Phocaeicola vulgatus BJH_57","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
