"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
823,"823.5020","Parabacteroides distasonis BJH_11","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5014","Parabacteroides distasonis BJH_211","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5021","Parabacteroides distasonis BJH_186","piperacillin/tazobactam","","4","","4","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5018","Parabacteroides distasonis BJH_21","piperacillin/tazobactam","","16","","16","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5023","Parabacteroides distasonis BJH_77","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5017","Parabacteroides distasonis BJH_200","piperacillin/tazobactam","","4","","4","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5018","Parabacteroides distasonis BJH_21","ertapenem","","1","","1","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5024","Parabacteroides distasonis BJH_60","piperacillin/tazobactam","","8","","8","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5018","Parabacteroides distasonis BJH_21","metronidazole","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5015","Parabacteroides distasonis BJH_188","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5024","Parabacteroides distasonis BJH_60","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5020","Parabacteroides distasonis BJH_11","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5015","Parabacteroides distasonis BJH_188","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5015","Parabacteroides distasonis BJH_188","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5014","Parabacteroides distasonis BJH_211","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5021","Parabacteroides distasonis BJH_186","meropenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5022","Parabacteroides distasonis BJH_45","piperacillin/tazobactam","","4","","4","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5016","Parabacteroides distasonis BJH_203","ertapenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5018","Parabacteroides distasonis BJH_21","meropenem","","1","","1","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5017","Parabacteroides distasonis BJH_200","meropenem","","0.064","","0.064","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5021","Parabacteroides distasonis BJH_186","ertapenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5024","Parabacteroides distasonis BJH_60","meropenem","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5024","Parabacteroides distasonis BJH_60","ertapenem","","0.125","","0.125","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5021","Parabacteroides distasonis BJH_186","metronidazole","","0.25","","0.25","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5023","Parabacteroides distasonis BJH_77","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
823,"823.5017","Parabacteroides distasonis BJH_200","metronidazole","","0.5","","0.5","mg/L","MIC","","","","","","","","","Laboratory Method","","[35038926]"
