"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
83655,"83655.425","Leclercia adecarboxylata ERR7221456","ertapenem","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
83655,"83655.10","Leclercia adecarboxylata strain USDA-ARS-USMARC-60222","clindamycin","",">16",">","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
83655,"83655.10","Leclercia adecarboxylata strain USDA-ARS-USMARC-60222","florfenicol","","==1","=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
83655,"83655.10","Leclercia adecarboxylata strain USDA-ARS-USMARC-60222","penicillin","","==8","=","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
83655,"83655.425","Leclercia adecarboxylata ERR7221456","cefoxitin","Intermediate","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
83655,"83655.10","Leclercia adecarboxylata strain USDA-ARS-USMARC-60222","tiamulin","",">32",">","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
83655,"83655.425","Leclercia adecarboxylata ERR7221456","gentamicin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
83655,"83655.10","Leclercia adecarboxylata strain USDA-ARS-USMARC-60222","gentamicin","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
83655,"83655.10","Leclercia adecarboxylata strain USDA-ARS-USMARC-60222","neomycin","","<=4","<=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
83655,"83655.425","Leclercia adecarboxylata ERR7221456","cefotaxime","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
83655,"83655.425","Leclercia adecarboxylata ERR7221456","amoxicillin/clavulanic acid","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
83655,"83655.425","Leclercia adecarboxylata ERR7221456","piperacillin/tazobactam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
83655,"83655.425","Leclercia adecarboxylata ERR7221456","amikacin","Susceptible","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST",2016,"","","","Laboratory Method","","[36916881]"
