"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
876,"876.27","Desulfovibrio desulfuricans strain 32","ciprofloxacin","Susceptible","36","=","36","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","trimethoprim/sulfamethoxazole","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","gentamicin","Susceptible","24","=","24","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","cefepime","Susceptible","24","=","24","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","ceftriaxone","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","colistin","Susceptible","14","=","14","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","cefotetan","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","levofloxacin","Susceptible","29","=","29","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","amoxicillin/clavulanic acid","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","ertapenem","Resistant","10","=","10","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","chloramphenicol","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","tobramycin","Susceptible","27","=","27","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","sulbactam","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","meropenem","Susceptible","24","=","24","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","ampicillin","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","cefalexin","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","imipenem","Susceptible","24","=","24","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","aztreonam","Susceptible","24","=","24","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","piperacillin","Susceptible","24","=","24","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","amikacin","Susceptible","30","=","30","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","tetracycline","Resistant","6","=","6","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
876,"876.27","Desulfovibrio desulfuricans strain 32","ceftazidime","Susceptible","28","=","28","mm","Disk diffusion","","","BD","CLSI","","","","","Laboratory Method","",""
