"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
87883,"87883.1034","Burkholderia multivorans O-9","ceftriaxone","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1034","Burkholderia multivorans O-9","meropenem","Intermediate","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1035","Burkholderia multivorans O-10","cephalothin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.269","Burkholderia multivorans strain 307","trimethoprim/sulfamethoxazole","Resistant","6","=","6","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
87883,"87883.1035","Burkholderia multivorans O-10","gentamicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1033","Burkholderia multivorans O-7","amikacin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1035","Burkholderia multivorans O-10","ticarcillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1033","Burkholderia multivorans O-7","ceftriaxone","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1033","Burkholderia multivorans O-7","trimethoprim/sulfamethoxazole","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1034","Burkholderia multivorans O-9","piperacillin","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1033","Burkholderia multivorans O-7","amoxicillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1033","Burkholderia multivorans O-7","ticarcillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1035","Burkholderia multivorans O-10","ampicillin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1035","Burkholderia multivorans O-10","ceftazidime","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1034","Burkholderia multivorans O-9","amoxicillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1034","Burkholderia multivorans O-9","ampicillin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1035","Burkholderia multivorans O-10","tobramycin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1033","Burkholderia multivorans O-7","piperacillin","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.269","Burkholderia multivorans strain 307","minocycline","Susceptible","29","=","29","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
87883,"87883.1034","Burkholderia multivorans O-9","imipenem","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1034","Burkholderia multivorans O-9","ciprofloxacin","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1034","Burkholderia multivorans O-9","gentamicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1035","Burkholderia multivorans O-10","netilmicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
87883,"87883.1033","Burkholderia multivorans O-7","ceftazidime","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
