"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
881260,"881260.284","Enterobacter bugandensis R_G3","ampicillin/sulbactam","Resistant",">8/4",">","8/4","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","ampicillin","Resistant",">16",">","16","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","colistin","Resistant",">4",">","4","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","gentamicin","Susceptible","<=4","<=","4","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","tigecycline","Susceptible","<=1","<=","1","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","cefoxitin","Resistant",">16",">","16","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","nitrofurantoin","","==64","=","64","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","trimethoprim/sulfamethoxazole","Resistant",">2/38",">","2/38","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","ceftazidime","Resistant",">16",">","16","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","norfloxacin","",">8",">","8","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","ceftazidime/clavulanic acid","",">16/8",">","16/8","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","levofloxacin","Resistant",">4",">","4","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","aztreonam","Resistant",">8",">","8","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","ciprofloxacin","Resistant",">2",">","2","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","cefotaxime/clavulanic acid","",">32/8",">","32/8","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","imipenem","Intermediate","==2","=","2","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","cephalothin","",">16",">","16","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","cefuroxime","Resistant",">16",">","16","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","ertapenem","Resistant",">1",">","1","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","piperacillin/tazobactam","Resistant",">64/4",">","64/4","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","fosfomycin","Resistant","<=64","<=","64","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","meropenem","Resistant",">8",">","8","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","cefotaxime","Resistant",">16",">","16","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","tobramycin","Resistant",">8",">","8","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","amikacin","Susceptible","<=16","<=","16","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","cefepime","Resistant",">8",">","8","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"881260.284","Enterobacter bugandensis R_G3","amoxicillin/clavulanic acid","Resistant",">8/4",">","8/4","mg/L","MIC","96-Well Plate","Microscan","","CLSI","","","","","","",""
881260,"1820019.3","Enterobacter cloacae complex sp. GN04787","ceftazidime","","32.0","","32.0","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.63, CI[0.36, 0.90]","Computational Method","",""
881260,"1820019.3","Enterobacter cloacae complex sp. GN04787","ciprofloxacin","","0.5","","0.5","mg/L","","","","","","","MIC XGBoost Model","202503101","W1 score: 0.78, CI[0.54, 1.01]","Computational Method","",""
