"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
95486,"95486.1047","Burkholderia cenocepacia O-5","gentamicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","ciprofloxacin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","piperacillin","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","piperacillin/tazobactam","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","ampicillin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","imipenem","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","imipenem","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","ticarcillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","ampicillin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","cephalothin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","piperacillin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","ceftriaxone","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","ceftazidime","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","imipenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","piperacillin/tazobactam","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","ampicillin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","cephalothin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","gentamicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","gentamicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","amoxicillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","ceftazidime","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","ciprofloxacin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","piperacillin/tazobactam","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","gentamicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","amoxicillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","meropenem","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","ticarcillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","ciprofloxacin","Intermediate","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","ceftazidime","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","tobramycin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","cephalothin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","piperacillin","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","amikacin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","tobramycin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","ceftriaxone","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","ticarcillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","tobramycin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","piperacillin","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","ceftriaxone","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","amikacin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","netilmicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","cephalothin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","netilmicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","netilmicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","tobramycin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","ceftazidime","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","ampicillin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","amikacin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","ticarcillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","amoxicillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","ceftriaxone","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","amoxicillin/clavulanic acid","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1048","Burkholderia cenocepacia O-3","trimethoprim/sulfamethoxazole","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","piperacillin/tazobactam","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1049","Burkholderia cenocepacia O-6","ciprofloxacin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","amikacin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","imipenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1050","Burkholderia cenocepacia O-4","netilmicin","Resistant","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
95486,"95486.1047","Burkholderia cenocepacia O-5","meropenem","Susceptible","","","","","Disk diffusion","","","","CLSI",2017,"","","","Laboratory Method","","[31107229]"
