"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
985002,"985002.155","Staphylococcus argenteus strain 3688STDY6125120","cefoxitin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.89","Staphylococcus argenteus strain 3688STDY6125089","penicillin","Resistant","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.101","Staphylococcus argenteus strain 3688STDY6125143","trimethoprim/sulfamethoxazole","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.134","Staphylococcus argenteus strain 3688STDY6125083","trimethoprim/sulfamethoxazole","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.88","Staphylococcus argenteus strain 3688STDY6125091","fosfomycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.112","Staphylococcus argenteus strain 3688STDY6125128","clindamycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.90","Staphylococcus argenteus strain 3688STDY6125088","gentamicin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.82","Staphylococcus argenteus strain 3688STDY6125124","erythromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.153","Staphylococcus argenteus strain 3688STDY6125070","erythromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.88","Staphylococcus argenteus strain 3688STDY6125091","cefoxitin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.136","Staphylococcus argenteus strain 3688STDY6125079","gentamicin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.93","Staphylococcus argenteus strain 3688STDY6125082","fusidic acid","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.145","Staphylococcus argenteus strain 3688STDY6125063","fusidic acid","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.132","Staphylococcus argenteus strain 3688STDY6125087","fusidic acid","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.139","Staphylococcus argenteus strain 3688STDY6125074","trimethoprim/sulfamethoxazole","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.138","Staphylococcus argenteus strain 3688STDY6125076","erythromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
985002,"985002.106","Staphylococcus argenteus strain 3688STDY6125135","erythromycin","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[26806258]"
