Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,fasta_path
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,amikacin,,8.0,,8.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.92, CI[0.91, 0.93]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,bedaquiline,,0.03125,,0.03125,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.91, CI[0.89, 0.94]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,clofazimine,,0.125,,0.125,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.91, CI[0.90, 0.92]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,delamanid,,0.03125,,0.03125,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.88, CI[0.86, 0.90]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,ethambutol,,4.0,,4.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.87, CI[0.86, 0.89]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,ethionamide,,8.0,,8.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.81, CI[0.78, 0.84]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,isoniazid,,1.0,,1.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.81, CI[0.81, 0.82]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,kanamycin,,16.0,,16.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.93, CI[0.92, 0.95]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,levofloxacin,,4.0,,4.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.77, CI[0.75, 0.78]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,linezolid,,0.25,,0.25,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.78, CI[0.77, 0.79]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
1160714,1160714.3,Mycobacterium tuberculosis XDR1221,moxifloxacin,,2.0,,2.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.76, CI[0.71, 0.82]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1160714_Mycobacterium_tuberculosis\1160714.3.fasta
