taxon_id,name,rank,species_taxon_id,species_name,genus_taxon_id,genus_name
195,Campylobacter coli,species,195,Campylobacter coli,194,Campylobacter
197,Campylobacter jejuni,species,197,Campylobacter jejuni,194,Campylobacter
210,Helicobacter pylori,species,210,Helicobacter pylori,209,Helicobacter
287,Pseudomonas aeruginosa,species,287,Pseudomonas aeruginosa,286,Pseudomonas
292,Burkholderia cepacia,species,292,Burkholderia cepacia,32008,Burkholderia
316,Stutzerimonas stutzeri,species,316,Stutzerimonas stutzeri,2901164,Stutzerimonas
470,Acinetobacter baumannii,species,470,Acinetobacter baumannii,469,Acinetobacter
471,Acinetobacter calcoaceticus,species,471,Acinetobacter calcoaceticus,469,Acinetobacter
480,Moraxella catarrhalis,species,480,Moraxella catarrhalis,475,Moraxella
485,Neisseria gonorrhoeae,species,485,Neisseria gonorrhoeae,482,Neisseria
487,Neisseria meningitidis,species,487,Neisseria meningitidis,482,Neisseria
545,Citrobacter koseri,species,545,Citrobacter koseri,544,Citrobacter
546,Citrobacter freundii,species,546,Citrobacter freundii,544,Citrobacter
548,Klebsiella aerogenes,species,548,Klebsiella aerogenes,570,Klebsiella
550,Enterobacter cloacae,species,550,Enterobacter cloacae,547,Enterobacter
553,Pantoea ananatis,species,553,Pantoea ananatis,53335,Pantoea
571,Klebsiella oxytoca,species,571,Klebsiella oxytoca,570,Klebsiella
573,Klebsiella pneumoniae,species,573,Klebsiella pneumoniae,570,Klebsiella
574,Klebsiella pneumoniae subsp. ozaenae,subspecies,573,Klebsiella pneumoniae,570,Klebsiella
575,Klebsiella planticola,species,575,Klebsiella planticola,570,Klebsiella
576,Klebsiella sp.,species,576,Klebsiella sp.,570,Klebsiella
582,Morganella morganii,species,582,Morganella morganii,581,Morganella
584,Proteus mirabilis,species,584,Proteus mirabilis,583,Proteus
585,Proteus vulgaris,species,585,Proteus vulgaris,583,Proteus
587,Providencia rettgeri,species,587,Providencia rettgeri,586,Providencia
588,Providencia stuartii,species,588,Providencia stuartii,586,Providencia
590,Salmonella,genus,,,590,Salmonella
594,Salmonella enterica subsp. enterica serovar Gallinarum,no rank,28901,Salmonella enterica,590,Salmonella
595,Salmonella enterica subsp. enterica serovar Infantis,no rank,28901,Salmonella enterica,590,Salmonella
596,Salmonella enterica subsp. enterica serovar Muenchen,no rank,28901,Salmonella enterica,590,Salmonella
597,Salmonella enterica subsp. enterica serovar Potsdam,no rank,28901,Salmonella enterica,590,Salmonella
598,Salmonella enterica subsp. enterica serovar Rubislaw,no rank,28901,Salmonella enterica,590,Salmonella
599,Salmonella sp.,species,599,Salmonella sp.,590,Salmonella
600,Salmonella enterica subsp. enterica serovar Thompson,no rank,28901,Salmonella enterica,590,Salmonella
604,Salmonella enterica subsp. enterica serovar Gallinarum/Pullorum,no rank,28901,Salmonella enterica,590,Salmonella
605,Salmonella enterica subsp. enterica serovar Pullorum,no rank,28901,Salmonella enterica,590,Salmonella
