symbol,type,class,subclass,genomes
aadA1,gene,AMINOGLYCOSIDE,STREPTOMYCIN,1
aph(3'')-Ib,gene,AMINOGLYCOSIDE,STREPTOMYCIN,1
aph(3')-IIb,gene,AMINOGLYCOSIDE,KANAMYCIN,2
aph(6)-Id,gene,AMINOGLYCOSIDE,STREPTOMYCIN,1
blaACT,gene,BETA-LACTAM,CEPHALOSPORIN,2
blaCTX-M-15,gene,BETA-LACTAM,CEPHALOSPORIN,1
blaI,gene,BETA-LACTAM,BETA-LACTAM,2
blaOXA-494,gene,BETA-LACTAM,BETA-LACTAM,2
blaPC1,gene,BETA-LACTAM,BETA-LACTAM,2
blaPDC-286,gene,BETA-LACTAM,CEPHALOSPORIN,2
blaR1,gene,BETA-LACTAM,BETA-LACTAM,2
blaSHV-1,gene,BETA-LACTAM,BETA-LACTAM,1
blaSHV-60,gene,BETA-LACTAM,BETA-LACTAM,1
blaTEM-1,gene,BETA-LACTAM,BETA-LACTAM,1
catB7,gene,PHENICOL,CHLORAMPHENICOL,2
dfrA50,gene,TRIMETHOPRIM,TRIMETHOPRIM,1
dfrA7,gene,TRIMETHOPRIM,TRIMETHOPRIM,1
estX-3,gene,MACROLIDE,TYLOSIN,1
fosA,gene,FOSFOMYCIN,FOSFOMYCIN,5
fosA2,gene,FOSFOMYCIN,FOSFOMYCIN,1
fosA7.2,gene,FOSFOMYCIN,FOSFOMYCIN,1
gyrA_S83A,point_mutation,QUINOLONE,QUINOLONE,1
gyrA_S83F,point_mutation,QUINOLONE/TRICLOSAN,QUINOLONE/TRICLOSAN,1
mef(A),gene,MACROLIDE,AZITHROMYCIN/ERYTHROMYCIN,1
msr(D),gene,MACROLIDE/STREPTOGRAMIN,AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,1
nalC_G71E,point_mutation,BETA-LACTAM,CARBAPENEM,2
nalC_S209R,point_mutation,BETA-LACTAM,CARBAPENEM,2
oprD_V359L,point_mutation,BETA-LACTAM,CARBAPENEM,2
oqxA,gene,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,3
oqxA10,gene,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,1
oqxB,gene,NITROFURAN/PHENICOL/QUINOLONE/TETRACYCLINE,NITROFURANTOIN/PHENICOL/QUINOLONE/TIGECYCLINE,2
oqxB17,gene,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,1
oqxB19,gene,PHENICOL/QUINOLONE,PHENICOL/QUINOLONE,1
sul1,gene,SULFONAMIDE,SULFONAMIDE,2
sul2,gene,SULFONAMIDE,SULFONAMIDE,1
tet(A),gene,TETRACYCLINE,TETRACYCLINE,2
