Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,fasta_path
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,amikacin,,4.0,,4.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.70, CI[0.62, 0.77]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,ceftazidime,,8.0,,8.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.50, CI[0.39, 0.62]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,ciprofloxacin,,2.0,,2.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.68, CI[0.53, 0.84]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,colistin,,0.5,,0.5,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.91, CI[0.86, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,levofloxacin,,1.0,,1.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.66, CI[0.59, 0.73]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,meropenem,,1.0,,1.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.41, CI[0.37, 0.46]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,tobramycin,,2.0,,2.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.72, CI[0.66, 0.77]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,amikacin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.78, CI[0.71, 0.84]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,aztreonam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.63, CI[0.52, 0.73]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,ceftazidime,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.75, CI[0.70, 0.81]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,ciprofloxacin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.95]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,ceftazidime/avibactam,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.73, 0.88]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,ceftolozane/tazobactam,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.84, CI[0.72, 0.96]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,cefepime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.65, CI[0.57, 0.72]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,gentamicin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.86, 0.96]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,imipenem,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.77, 0.85]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,levofloxacin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.94]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,meropenem,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.70, CI[0.63, 0.77]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,tobramycin,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.92, CI[0.89, 0.96]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
1163393,1163393.3,Pseudomonas aeruginosa ATCC 25324,piperacillin/tazobactam,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.82, CI[0.68, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1163393_Pseudomonas_aeruginosa\1163393.3.fasta
