Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,fasta_path
1134687,1134687.63,Klebsiella michiganensis strain AR375,ertapenem,Susceptible,<=0.12,<=,0.12,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1134687_Klebsiella_michiganensis\1134687.63.fasta
1134687,1134687.63,Klebsiella michiganensis strain AR375,cefazolin,Resistant,>8,>,8,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1134687_Klebsiella_michiganensis\1134687.63.fasta
1134687,1134687.63,Klebsiella michiganensis strain AR375,doripenem,Susceptible,<=0.12,<=,0.12,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1134687_Klebsiella_michiganensis\1134687.63.fasta
1134687,1134687.63,Klebsiella michiganensis strain AR375,gentamicin,Susceptible,==2,=,2,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1134687_Klebsiella_michiganensis\1134687.63.fasta
1134687,1134687.63,Klebsiella michiganensis strain AR375,ceftriaxone,Resistant,==32,=,32,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1134687_Klebsiella_michiganensis\1134687.63.fasta
1134687,1134687.63,Klebsiella michiganensis strain AR375,piperacillin/tazobactam,Susceptible,<=4/4,<=,4/4,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1134687_Klebsiella_michiganensis\1134687.63.fasta
1134687,1134687.63,Klebsiella michiganensis strain AR375,cefoxitin,Resistant,>16,>,16,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1134687_Klebsiella_michiganensis\1134687.63.fasta
1134687,1134687.63,Klebsiella michiganensis strain AR375,cefotaxime,Resistant,==16,=,16,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1134687_Klebsiella_michiganensis\1134687.63.fasta
1134687,1134687.63,Klebsiella michiganensis strain AR375,ciprofloxacin,Susceptible,<=0.25,<=,0.25,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1134687_Klebsiella_michiganensis\1134687.63.fasta
1134687,1134687.63,Klebsiella michiganensis strain AR375,levofloxacin,Susceptible,<=0.12,<=,0.12,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1134687_Klebsiella_michiganensis\1134687.63.fasta
