"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","trimethoprim/sulfamethoxazole","",">2/38",">","2/38","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","neomycin","","<=4","<=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","enrofloxacin","","==0.5","=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","clindamycin","",">16",">","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","gentamicin","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","ceftiofur","","==8","=","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","tylosin","",">32",">","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","chlortetracycline","","==2","=","2","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","sulfadimethoxine","",">256",">","256","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","tiamulin","","==16","=","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","penicillin","",">8",">","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","oxytetracycline","","==1","=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","tilmicosin","",">64",">","64","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","danofloxacin","","==0.25","=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","tulathromycin","",">64",">","64","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","ampicillin","",">16",">","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","florfenicol","",">8",">","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
76759,"76759.14","Pseudomonas monteilii strain USDA-ARS-USMARC-56711","spectinomycin","","==16","=","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
