"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1638,"1638.43","Listeria ivanovii NGS01","erythromycin","Susceptible","<=1","<=","1","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.42","Listeria ivanovii NGS04","trimethoprim/sulfamethoxazole","Susceptible","<=0.06/0.06","<=","0.06/0.06","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.44","Listeria ivanovii NGS03","meropenem","Susceptible","<=0.25","<=","0.25","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.43","Listeria ivanovii NGS01","penicillin","Susceptible","<=1","<=","1","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.42","Listeria ivanovii NGS04","meropenem","Susceptible","<=0.25","<=","0.25","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.42","Listeria ivanovii NGS04","ampicillin","Susceptible","<=1","<=","1","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.44","Listeria ivanovii NGS03","erythromycin","Susceptible","<=1","<=","1","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.42","Listeria ivanovii NGS04","penicillin","Susceptible","<=1","<=","1","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.43","Listeria ivanovii NGS01","ampicillin","Susceptible","<=1","<=","1","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.44","Listeria ivanovii NGS03","trimethoprim/sulfamethoxazole","Susceptible","<=0.06/0.06","<=","0.06/0.06","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.44","Listeria ivanovii NGS03","penicillin","Susceptible","<=1","<=","1","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.44","Listeria ivanovii NGS03","ampicillin","Susceptible","<=1","<=","1","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.42","Listeria ivanovii NGS04","erythromycin","Susceptible","<=1","<=","1","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.43","Listeria ivanovii NGS01","trimethoprim/sulfamethoxazole","Susceptible","<=0.06/0.06","<=","0.06/0.06","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
1638,"1638.43","Listeria ivanovii NGS01","meropenem","Susceptible","<=0.25","<=","0.25","mg/L","MIC","","E-test","Liofilchem","EUCAST","","","","","","",""
