id,description,finished_at,split,encoding,model,rows,test_rows,auc_roc,auc_ci_low,auc_ci_high,auc_pr,f1,balanced_acc,brier,very_major_error,major_error,threshold,runtime_seconds
A0_baseline_leaky,"Reproduces backend/train_models.py: random split, encodings fitted on all data",2026-09-24T09:16:05+00:00,random,leaky,lightgbm,1525796,305160,0.8243,0.8227,0.8264,0.7409,0.6662,0.7198,0.1711,0.1064,0.4539,0.4,43.7
A1_oof_random,"A0 with out-of-fold encoding, isolates the cost of target leakage",2026-09-24T09:17:05+00:00,random,oof,lightgbm,1525796,305160,0.8225,0.821,0.8247,0.7387,0.6648,0.7185,0.1719,0.1092,0.4538,0.4,57.4
A2b_no_encoding,"A2 without any rate features, what the model learns unaided",2026-09-24T09:18:11+00:00,grouped,none,lightgbm,1525796,305159,0.8221,0.8188,0.8255,0.7376,0.6644,0.7176,0.172,0.1036,0.4612,0.4,48.1
A9_threshold_f1,A2 with the threshold tuned on validation instead of fixed at 0.40,2026-09-24T09:19:11+00:00,grouped,oof,lightgbm,1525796,305159,0.8232,0.82,0.8269,0.7394,0.6703,0.7313,0.1716,0.2018,0.3355,0.468,57.5
A_ablation_no_mic,"A2 without any MIC input, the value of a measured MIC",2026-09-24T09:21:09+00:00,grouped,oof,lightgbm,1525796,305159,0.8033,0.7999,0.8068,0.6974,0.6518,0.7014,0.182,0.0913,0.5059,0.4,57.5
A_ablation_drug_only,"Antibiotic and drug class only, the floor the UI calls a population-level estimate",2026-09-24T09:21:44+00:00,grouped,none,lightgbm,1525796,305159,0.6545,0.6516,0.657,0.4906,0.5743,0.5946,0.2277,0.0983,0.7125,0.4,32.7
A6_lab_only,"A2 restricted to wet-lab labels, removes computational-caller noise",2026-09-24T09:21:57+00:00,grouped,oof,lightgbm,203824,40771,0.9654,0.962,0.9685,0.9678,0.8829,0.8785,0.0748,0.0819,0.161,0.4,11.5
A12_species_holdout,"Train without Klebsiella, test only on it, generalisation to an unseen genus",2026-09-24T09:22:46+00:00,species_holdout,oof,lightgbm,1525796,452770,0.5971,0.5935,0.6012,0.599,0.6045,0.5285,0.2467,0.1141,0.8289,0.4,48.0
A6b_lab_only_no_mic,"A6 without MIC features, tests whether lab-label performance is just the breakpoint rule",2026-09-24T09:23:20+00:00,grouped,oof,lightgbm,203824,40771,0.8703,0.8644,0.8764,0.8642,0.7934,0.7701,0.1464,0.1143,0.3456,0.4,9.3
A3_logistic,"Logistic regression baseline, is boosting earning its complexity?",2026-09-24T09:27:07+00:00,grouped,oof,logistic,400000,80000,0.8024,0.7985,0.8063,0.7083,0.6557,0.718,0.1811,0.2096,0.3544,0.449,49.7
A3b_lgbm_same_sample,"LightGBM on the identical 400k sample, the like-for-like comparison against A3_logistic",2026-09-24T09:28:01+00:00,grouped,oof,lightgbm,400000,80000,0.8201,0.8163,0.8245,0.7348,0.6683,0.7305,0.1733,0.2044,0.3346,0.474,39.7
LC_50k,Learning curve: LightGBM on a 50k-row sample,2026-09-24T09:31:40+00:00,grouped,oof,lightgbm,50000,10001,0.8157,0.806,0.8233,0.7307,0.6595,0.7131,0.1759,0.1252,0.4487,0.4,13.1
LC_100k,Learning curve: LightGBM on a 100k-row sample,2026-09-24T09:32:02+00:00,grouped,oof,lightgbm,100000,20001,0.8195,0.8123,0.8263,0.7349,0.6589,0.712,0.1735,0.0999,0.4761,0.4,20.5
LC_200k,Learning curve: LightGBM on a 200k-row sample,2026-09-24T09:32:32+00:00,grouped,oof,lightgbm,200000,40002,0.8174,0.8115,0.8223,0.7307,0.6581,0.7131,0.174,0.1121,0.4616,0.4,29.2
LC_400k,Learning curve: LightGBM on a 400k-row sample,2026-09-24T09:33:13+00:00,grouped,oof,lightgbm,400000,80000,0.8201,0.8163,0.8245,0.7348,0.6575,0.7096,0.1733,0.0878,0.493,0.4,39.7
