"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","azithromycin","","==0.5","==","0.5","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","sulfisoxazole","","==32","==","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","azithromycin","","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","sulfisoxazole","","<=16","<=","16","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","azithromycin","","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","sulfisoxazole","","==32","==","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9002","Vibrio parahaemolyticus 19MO01SH03","azithromycin","","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9002","Vibrio parahaemolyticus 19MO01SH03","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9002","Vibrio parahaemolyticus 19MO01SH03","sulfisoxazole","","<=16","<=","16","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9007","Vibrio parahaemolyticus 19NY01SH07","azithromycin","","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9007","Vibrio parahaemolyticus 19NY01SH07","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9007","Vibrio parahaemolyticus 19NY01SH07","sulfisoxazole","","==64","==","64","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9008","Vibrio parahaemolyticus 19NY03SH02","azithromycin","","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9008","Vibrio parahaemolyticus 19NY03SH02","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9008","Vibrio parahaemolyticus 19NY03SH02","sulfisoxazole","","==32","==","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9006","Vibrio parahaemolyticus 19CA03SH03","azithromycin","","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9006","Vibrio parahaemolyticus 19CA03SH03","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9006","Vibrio parahaemolyticus 19CA03SH03","sulfisoxazole","","==32","==","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9009","Vibrio parahaemolyticus 19GA03SH04","azithromycin","","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9009","Vibrio parahaemolyticus 19GA03SH04","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9009","Vibrio parahaemolyticus 19GA03SH04","sulfisoxazole","","==32","==","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9010","Vibrio parahaemolyticus 19SD04SH02","azithromycin","","<=0.25","<=","0.25","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9010","Vibrio parahaemolyticus 19SD04SH02","chloramphenicol","","<=2","<=","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9010","Vibrio parahaemolyticus 19SD04SH02","sulfisoxazole","","==32","==","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","","","","","","","",""
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","amoxicillin/clavulanic acid","Susceptible","==4/2","==","4/2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","ampicillin","Resistant",">32",">","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","cefoxitin","Susceptible","==8","==","8","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","ciprofloxacin","Susceptible","==0.125","==","0.125","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","gentamicin","Susceptible","==4","==","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","meropenem","Susceptible","<=0.06","<=","0.06","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","tetracycline","Susceptible","<=4","<=","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9005","Vibrio parahaemolyticus 19MO01SH02","trimethoprim/sulfamethoxazole","Susceptible","<=0.12/2.4","<=","0.12/2.4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","amoxicillin/clavulanic acid","Susceptible","==2/1","==","2/1","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","ampicillin","Susceptible","==16","==","16","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","cefoxitin","Susceptible","==4","==","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","ciprofloxacin","Susceptible","<=0.015","<=","0.015","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","gentamicin","Susceptible","==1","==","1","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","meropenem","Susceptible","<=0.06","<=","0.06","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","tetracycline","Resistant","==32","==","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9003","Vibrio parahaemolyticus 19SD02SH07","trimethoprim/sulfamethoxazole","Susceptible","<=0.12/2.4","<=","0.12/2.4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","amoxicillin/clavulanic acid","Susceptible","==2/1","==","2/1","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","ampicillin","Susceptible","==16","==","16","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","cefoxitin","Susceptible","==4","==","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","ciprofloxacin","Susceptible","==0.03","==","0.03","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","gentamicin","Susceptible","==2","==","2","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","meropenem","Susceptible","<=0.06","<=","0.06","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","tetracycline","Susceptible","<=4","<=","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9004","Vibrio parahaemolyticus 19MO01SH06","trimethoprim/sulfamethoxazole","Susceptible","<=0.12/2.4","<=","0.12/2.4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9002","Vibrio parahaemolyticus 19MO01SH03","amoxicillin/clavulanic acid","Susceptible","==2/1","==","2/1","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9002","Vibrio parahaemolyticus 19MO01SH03","ampicillin","Susceptible","==16","==","16","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9002","Vibrio parahaemolyticus 19MO01SH03","cefoxitin","Susceptible","==4","==","4","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9002","Vibrio parahaemolyticus 19MO01SH03","ciprofloxacin","Susceptible","<=0.03","<=","0.03","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9002","Vibrio parahaemolyticus 19MO01SH03","gentamicin","Susceptible","==1","==","1","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9002","Vibrio parahaemolyticus 19MO01SH03","meropenem","Susceptible","<=0.06","<=","0.06","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
670,"670.9002","Vibrio parahaemolyticus 19MO01SH03","tetracycline","Resistant","==32","==","32","mg/L","MIC","96-Well Plate","Sensititre","Trek Diagnostic Systems","CLSI","","","","","","",""
