Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,fasta_path
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,azithromycin,,0.0625,,0.0625,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.93, CI[0.88, 0.98]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,ciprofloxacin,,4.0,,4.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.94, CI[0.91, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,clindamycin,,0.125,,0.125,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.90, CI[0.85, 0.95]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,erythromycin,,0.25,,0.25,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.94, CI[0.90, 0.98]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,florfenicol,,0.5,,0.5,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.97, CI[0.94, 1.01]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,gentamicin,,0.25,,0.25,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.96, CI[0.94, 0.98]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,nalidixic acid,,64.0,,64.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.98, CI[0.96, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,telithromycin,,0.5,,0.5,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.94, CI[0.88, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,tetracycline,,2.0,,2.0,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.94, CI[0.88, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,ciprofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.99, CI[0.96, 1.02]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,nalidixic acid,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 1.00, CI[0.98, 1.01]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
1111076,1111076.3,Campylobacter jejuni subsp. jejuni 04199,tetracycline,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.98, CI[0.97, 0.99]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1111076_Campylobacter_jejuni\1111076.3.fasta
