"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","florfenicol","",">8",">","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","tiamulin","","==32","=","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","tilmicosin","","==32","=","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","danofloxacin","","<=0.12","<=","0.12","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","tulathromycin","","==64","=","64","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","ceftiofur","","==4","=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","neomycin","","<=4","<=","4","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","trimethoprim/sulfamethoxazole","","<=2/38","<=","2/38","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","tylosin","",">32",">","32","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","clindamycin","",">16",">","16","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","gentamicin","","<=1","<=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","ampicillin","","==8","=","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","chlortetracycline","","==1","=","1","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","enrofloxacin","","==0.25","=","0.25","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","sulfadimethoxine","",">256",">","256","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","penicillin","",">8",">","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","spectinomycin","","<=8","<=","8","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
47885,"47885.7","Pseudomonas oryzihabitans strain USDA-ARS-USMARC-56511","oxytetracycline","","<=0.5","<=","0.5","mg/L","Broth dilution","","Sensititre","Thermo Fisher Scientific","CLSI","","","","","Laboratory Method","",""
