"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
1351,"1351.1299","Enterococcus faecalis strain VRE65","vancomycin","Resistant",">256",">","256","mg/L","Broth dilution","","","","","","","","","Laboratory Method","30393188","[30393188]"
1351,"1351.1654","Enterococcus faecalis strain 269","nitrofurantoin","Susceptible","22","=","22","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
1351,"1351.5867","Enterococcus faecalis strain AR_0780","quinupristin/dalfopristin","Resistant","==4","=","4","mg/L","MIC","","","","CLSI","","","","","","",""
1351,"1351.5731","Enterococcus faecalis strain AR_0780","penicillin","Susceptible","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","","",""
1351,"1351.1655","Enterococcus faecalis strain 298","ampicillin","Susceptible","25","=","25","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
1351,"1351.1923","Enterococcus faecalis strain 10-2-12","tetracycline","Resistant","","","","","","","","","","","","","","Laboratory Method","","[31028029]"
1351,"1351.1655","Enterococcus faecalis strain 298","gentamicin","Susceptible","21","=","21","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
1351,"1351.436","Enterococcus faecalis strain ST4:12","daptomycin","Susceptible","==1","=","1","mg/L","Broth dilution","","","In-house","CLSI","","","","","Laboratory Method","",""
1351,"1351.5325","Enterococcus faecalis strain EFS0020","gentamicin","Susceptible","==20","=","20","mm","Disk diffusion","","","BioMerieux","CLSI","","","","","","",""
1351,"1351.6069","Enterococcus faecalis AR_0780","quinupristin/dalfopristin","Resistant","==4","=","4","mg/L","MIC","","","","CLSI","","","","","","",""
1351,"1351.1302","Enterococcus faecalis strain VRE109","daptomycin","Susceptible","0.5","","0.5","mg/L","Broth dilution","","","","","","","","","Laboratory Method","30393188","[30393188]"
1351,"1351.2070","Enterococcus faecalis strain SCAID PHRX1-2018 strain Swab from oropharyngeal of the woman with tonsillitis","erythromycin","Resistant","==6","=","6","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
1351,"1351.1858","Enterococcus faecalis strain 5A-5","tetracycline","Resistant","","","","","","","","","","","","","","Laboratory Method","","[31028029]"
1351,"1351.1873","Enterococcus faecalis strain 10-1A","tetracycline","Resistant","","","","","","","","","","","","","","Laboratory Method","","[31028029]"
1351,"1351.436","Enterococcus faecalis strain ST4:12","enrofloxacin","","==1","=","1","mg/L","Broth dilution","","","In-house","CLSI","","","","","Laboratory Method","",""
1351,"1351.1925","Enterococcus faecalis strain 13-2-17","tetracycline","Resistant","","","","","","","","","","","","","","Laboratory Method","","[31028029]"
1351,"1351.435","Enterococcus faecalis strain ST4:1","linezolid","Susceptible","==2","=","2","mg/L","Broth dilution","","","In-house","CLSI","","","","","Laboratory Method","",""
1351,"1351.5731","Enterococcus faecalis strain AR_0780","linezolid","Resistant","==8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","","",""
1351,"1351.434","Enterococcus faecalis strain ST55:13","ceftriaxone","Nonsusceptible",">128",">","128","mg/L","Broth dilution","","","In-house","CLSI","","","","","Laboratory Method","",""
1351,"1351.5002","Enterococcus faecalis strain EFS0019","ampicillin","Susceptible","==25","=","25","mm","Disk diffusion","","","BioMerieux","CLSI","","","","","","",""
1351,"1351.5867","Enterococcus faecalis strain AR_0780","teicoplanin","Susceptible","==0.5","=","0.5","mg/L","MIC","","","","CLSI","","","","","","",""
1351,"1351.1927","Enterococcus faecalis strain 13-2-13","tetracycline","Resistant","","","","","","","","","","","","","","Laboratory Method","","[31028029]"
1351,"1351.1654","Enterococcus faecalis strain 269","rifampin","Resistant","14","=","14","mm","Disk diffusion","","KB panel","BD","CLSI","","","","","Laboratory Method","",""
1351,"1351.435","Enterococcus faecalis strain ST4:1","vancomycin","Susceptible","==1","=","1","mg/L","Broth dilution","","","In-house","CLSI","","","","","Laboratory Method","",""
1351,"1351.1898","Enterococcus faecalis strain 5A-4","tetracycline","Resistant","","","","","","","","","","","","","","Laboratory Method","","[31028029]"
1351,"1351.1869","Enterococcus faecalis strain 12-1VP","tetracycline","Susceptible","","","","","","","","","","","","","","Laboratory Method","","[31028029]"
