Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,fasta_path
1094171,1094171.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11,amoxicillin/clavulanic acid,,32.0,,32.0,mg/L,,,,,,,MIC XGBoost Model,202503101.0,"W1 score: 0.95, CI[0.93, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1094171_Klebsiella_pneumoniae\1094171.3.fasta
1094171,1094171.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11,amikacin,,16.0,,16.0,mg/L,,,,,,,MIC XGBoost Model,202503101.0,"W1 score: 0.94, CI[0.92, 0.96]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1094171_Klebsiella_pneumoniae\1094171.3.fasta
1094171,1094171.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11,ampicillin,,32.0,,32.0,mg/L,,,,,,,MIC XGBoost Model,202503101.0,"W1 score: 0.99, CI[0.98, 1.00]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1094171_Klebsiella_pneumoniae\1094171.3.fasta
1094171,1094171.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11,aztreonam,,64.0,,64.0,mg/L,,,,,,,MIC XGBoost Model,202503101.0,"W1 score: 0.86, CI[0.85, 0.88]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1094171_Klebsiella_pneumoniae\1094171.3.fasta
1094171,1094171.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11,ceftazidime,,32.0,,32.0,mg/L,,,,,,,MIC XGBoost Model,202503101.0,"W1 score: 0.92, CI[0.90, 0.93]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1094171_Klebsiella_pneumoniae\1094171.3.fasta
1094171,1094171.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11,cefazolin,,32.0,,32.0,mg/L,,,,,,,MIC XGBoost Model,202503101.0,"W1 score: 0.96, CI[0.95, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1094171_Klebsiella_pneumoniae\1094171.3.fasta
1094171,1094171.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11,chloramphenicol,,32.0,,32.0,mg/L,,,,,,,MIC XGBoost Model,202503101.0,"W1 score: 0.95, CI[0.89, 1.01]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1094171_Klebsiella_pneumoniae\1094171.3.fasta
1094171,1094171.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11,ciprofloxacin,,4.0,,4.0,mg/L,,,,,,,MIC XGBoost Model,202503101.0,"W1 score: 0.97, CI[0.95, 0.98]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1094171_Klebsiella_pneumoniae\1094171.3.fasta
1094171,1094171.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11,ceftriaxone,,64.0,,64.0,mg/L,,,,,,,MIC XGBoost Model,202503101.0,"W1 score: 0.95, CI[0.94, 0.97]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1094171_Klebsiella_pneumoniae\1094171.3.fasta
1094171,1094171.3,Klebsiella pneumoniae subsp. pneumoniae KPNIH11,colistin,,1.0,,1.0,mg/L,,,,,,,MIC XGBoost Model,202503101.0,"W1 score: 0.65, CI[0.55, 0.75]",Computational Method,,,C:\Users\HP\OneDrive - Higher Education Commission\Desktop\FYP1\fasta_output\taxon_1094171_Klebsiella_pneumoniae\1094171.3.fasta
