"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
545,"545.49","Citrobacter koseri strain AR_0024","polymyxin B","","==1","=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.194","Citrobacter koseri strain Survcare397","aztreonam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST","","","","","Laboratory Method","","[34858870]"
545,"545.191","Citrobacter koseri strain MRSN755319","ticarcillin","Resistant",">64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","","",""
545,"545.123","Citrobacter koseri strain SCAID URN1-2019","ciprofloxacin","Intermediate","==29","=","29","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
545,"545.49","Citrobacter koseri strain AR_0024","tigecycline","Susceptible","==0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.123","Citrobacter koseri strain SCAID URN1-2019","amoxicillin","Intermediate","==16","=","16","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
545,"545.48","Citrobacter koseri strain AR_0025","imipenem","Susceptible","<=0.5","<=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.49","Citrobacter koseri strain AR_0024","piperacillin/tazobactam","Susceptible","<=4/4","<=","4/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.48","Citrobacter koseri strain AR_0025","ceftazidime","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.48","Citrobacter koseri strain AR_0025","cefotaxime","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.191","Citrobacter koseri strain MRSN755319","ertapenem","Resistant","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","","",""
545,"545.49","Citrobacter koseri strain AR_0024","meropenem","Susceptible","<=0.12","<=","0.12","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.194","Citrobacter koseri strain Survcare397","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST","","","","","Laboratory Method","","[34858870]"
545,"545.48","Citrobacter koseri strain AR_0025","levofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.48","Citrobacter koseri strain AR_0025","ertapenem","Susceptible","<=0.12","<=","0.12","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.123","Citrobacter koseri strain SCAID URN1-2019","imipenem","Susceptible","==33","=","33","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
545,"545.48","Citrobacter koseri strain AR_0025","colistin","","==0.5","=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.194","Citrobacter koseri strain Survcare397","ampicillin/sulbactam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST","","","","","Laboratory Method","","[34858870]"
545,"545.193","Citrobacter koseri strain Survcare347","aztreonam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST","","","","","Laboratory Method","","[34858870]"
545,"545.49","Citrobacter koseri strain AR_0024","cefepime","Susceptible","<=0.5","<=","0.5","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.193","Citrobacter koseri strain Survcare347","ampicillin","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST","","","","","Laboratory Method","","[34858870]"
545,"545.48","Citrobacter koseri strain AR_0025","ampicillin","Resistant",">32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.194","Citrobacter koseri strain Survcare397","cefuroximÂ ","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST","","","","","Laboratory Method","","[34858870]"
545,"545.194","Citrobacter koseri strain Survcare397","piperacillin/tazobactam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST","","","","","Laboratory Method","","[34858870]"
545,"545.193","Citrobacter koseri strain Survcare347","piperacillin/tazobactam","Resistant","","","","","Broth dilution","","VITEK 2","BioMerieux","EUCAST","","","","","Laboratory Method","","[34858870]"
545,"545.49","Citrobacter koseri strain AR_0024","tetracycline","Susceptible","<=2","<=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.48","Citrobacter koseri strain AR_0025","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.123","Citrobacter koseri strain SCAID URN1-2019","streptomycin","Resistant","==6","=","6","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
545,"545.191","Citrobacter koseri strain MRSN755319","piperacillin","Resistant",">64",">","64","mg/L","Broth dilution","","","","CLSI","","","","","","",""
545,"545.49","Citrobacter koseri strain AR_0024","amoxicillin/clavulanic acid","Susceptible","==2/1","=","2/1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.49","Citrobacter koseri strain AR_0024","ceftazidime","Susceptible","<=1","<=","1","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.191","Citrobacter koseri strain MRSN755319","cefazolin","Resistant",">=64",">=","64","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","","",""
545,"545.123","Citrobacter koseri strain SCAID URN1-2019","tobramycin","Susceptible","==21","=","21","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
545,"545.123","Citrobacter koseri strain SCAID URN1-2019","clindamycin","Resistant","==6","=","6","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
545,"545.123","Citrobacter koseri strain SCAID URN1-2019","gentamicin","Intermediate","==16","=","16","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
545,"545.191","Citrobacter koseri strain MRSN755319","ciprofloxacin","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution","","VITEK 2","BioMerieux","CLSI","","","","","","",""
545,"545.48","Citrobacter koseri strain AR_0025","amoxicillin/clavulanic acid","Susceptible","==8/4","=","8/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.48","Citrobacter koseri strain AR_0025","ampicillin/sulbactam","Resistant","==32/16","=","32/16","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.49","Citrobacter koseri strain AR_0024","amikacin","Susceptible","==4","=","4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.123","Citrobacter koseri strain SCAID URN1-2019","cefepime","Intermediate","==17","=","17","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
545,"545.48","Citrobacter koseri strain AR_0025","cefoxitin","Susceptible","==8","=","8","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.123","Citrobacter koseri strain SCAID URN1-2019","meropenem","Susceptible","==34","=","34","mm","Disk diffusion","","Scan 500","Interscience","CLSI","","","","","","",""
545,"545.49","Citrobacter koseri strain AR_0024","aztreonam","Susceptible","<=2","<=","2","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.49","Citrobacter koseri strain AR_0024","ampicillin","Resistant",">32",">","32","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.48","Citrobacter koseri strain AR_0025","piperacillin/tazobactam","Susceptible","==16/4","=","16/4","mg/L","Broth dilution","","","","CLSI","","","","","Laboratory Method","",""
545,"545.191","Citrobacter koseri strain MRSN755319","piperacillin/tazobactam","Resistant",">128/4",">","128/4","mg/L","Broth dilution","","","","CLSI","","","","","","",""
