"Taxon ID","Genome ID","Genome Name","Antibiotic","Resistant Phenotype","Measurement","Measurement Sign","Measurement Value","Measurement Unit","Laboratory Typing Method","Laboratory Typing Method Version","Laboratory Typing Platform","Vendor","Testing Standard","Testing Standard Year","Computational Method","Computational Method Version","Computational Method Performance","Evidence","Source","PubMed"
218495,"218495.5","Streptococcus uberis 0140J","oxacillin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
218495,"218495.83","Streptococcus uberis 0140J m7","oxacillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
218495,"218495.84","Streptococcus uberis 0140J m6","oxacillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
218495,"218495.85","Streptococcus uberis 0140J m8","oxacillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
218495,"218495.86","Streptococcus uberis 0140J m12","oxacillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
218495,"218495.87","Streptococcus uberis 0140J m2","oxacillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
218495,"218495.88","Streptococcus uberis 0140J m3","oxacillin","Susceptible","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
218495,"218495.92","Streptococcus uberis 0140J m5","oxacillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
218495,"218495.93","Streptococcus uberis 0140J m9","oxacillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
218495,"218495.94","Streptococcus uberis 0140J m10","oxacillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
218495,"218495.95","Streptococcus uberis 0140J m11","oxacillin","Resistant","","","","","","","","","","","SIR XGBoost Model","202503101","F1 score: 0.99, CI[0.97, 1.01]","Computational Method","",""
